Song,Streams_Num,Daily_Raw
* A Hand For Mrs. Claus,9748197,11838
* Adore,69197211,29296
* All My Love,38117946,14277
* All My Love (Remix),82470799,13718
* All My Love - French Version,738123,85
* Arturo Sandoval,3827811,1774
* Bang Bang,1614242706,492126
* Bang Bang - 3LAU Extended Mix,110669,1
* Bang Bang - 3LAU Remix,24306326,2030
* Bang Bang - A Cappella,177806,637
* Bang Bang - Dada Life Remix,6418022,218
* Bang Bang - Imanos & Gramercy Remix,3229941,500
* Bang Bang - Kat Krazy Extended Mix,176921,3
* Bang Bang - Kat Krazy Remix,2461627,122
* Bang Bang - Super Stylers Remix,1500457,113
* Bang Bang - iLL BLU Mix Radio Edit,112612,3
* Bed (feat. Ariana Grande),319682131,49221
* Dance To This (feat. Ariana Grande),325632232,58230
* Dancing Through Life,85267475,304902
* Dear Old Shiz,32362486,129146
* Defying Gravity,185979863,531293
* Defying Gravity - Edit,17384569,103486
* Die For You (with Ariana Grande) - Remix,1226487748,486721
"* E piÃ¹ ti penso - From ""Once Upon A Time In America""",31029269,3795
* Every Day More Wicked,4676373,381752
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",115493552,25688
* For Good,10380940,1138380
* For Good - Live from the Gershwin Theatre,6403050,215658
* Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,2223707,74688
* Get On Your Knees,98060276,16241
* Give It Up (feat. Elizabeth Gillies & Ariana Grande),61965849,26008
* Good as Hell (feat. Ariana Grande) - Remix,464719625,64327
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",146160742,9502
* Hotel Rock Bottom (feat. Ariana Grande),2461253,3545
* I Don't Do Drugs (feat. Ariana Grande),228935139,56576
* I Don't Know Why (I Just Do),3302146,9475
* It Was Aâ¦ (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),20375671,13926
* L.A. Boyz (feat. Victoria Justice & Ariana Grande),18021761,6768
"* Mama, I'm a Big Girl Now",15699616,3095
* Met Him Last Night,146126952,29154
* Met Him Last Night - Dave AudÃ© Remix,10406294,1451
* My Favorite Part,425904990,114895
* No One Mourns the Wicked,78827998,316930
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),120939920,183554
"* One Heart, One Voice (with Mariah Carey & Ariana Grande)",1699618,1805
* One Short Day,43727411,151327
